,UID,Product #,Product Description,Qty,Unit Price,Total Price
826,,,Casing Application Location = Shipped Loose,,,
827,,,Trim Board = Fibrex Cellular Trim Board,,,
828,,,Installation Material Options = No,,,
829,,,Re-Order Item = No,,,
830,,,Room Location = None,,,
831,,,"Unit 1, 3: Unit U-Factor = ---",,,
832,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
833,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
834,16,300-12,400 Series Double-Hung Bay,1,$499.60,$499.60
835,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
836,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
837,,,Dimensional Entry Type = Standard Sizes (By Center,,,
838,,,Width),,,
839,,,Installation Zip Code = 55082,,,
840,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
841,,,Search by Unit Code = No,,,
842,,,"Unit 1, 3: Frame Width = 21 5/8",,,
843,,,"Unit 1, 3: Frame Height = 68 7/8",,,
844,,,Unit 2: Frame Width = 41 5/8,,,
845,,,Unit 2: Frame Height = 68 7/8,,,
846,,,Unit Code = TW45-3456-18,,,
847,,,Combination Operation / Venting = Active (All),,,
848,,,Venting / Handing = AA,,,
849,,,Exterior Color = Dark Bronze,,,
850,,,Exterior Sash/Panel Color = Dark Bronze,,,
851,,,Interior Species = Pine,,,
852,,,Interior Finish Color = White - Painted,,,
853,,,Jamb Liner Color = White,,,
854,,,Glass Construction Type = Dual Pane,,,
855,,,Glass Option = Low-E4,,,
856,,,High Altitude Breather Tubes = No,,,
857,,,Glass Strength = Tempered,,,
858,,,Specialty Glass = Reed Vertical,,,
859,,,Gas Fill = Argon,,,
860,,,None,,,
861,,,DP/PG Upgrade = No,,,
862,,,Sash Lift Type = Hand Lift,,,
863,,,Sash Lift Style = Traditional,,,
864,,,Sash Lift Color/Finish = Antique Brass,,,
865,,,Lock Hardware Style = Traditional,,,
866,,,Number of Sash Locks = 1,,,
867,,,Lock Hardware Color/Finish = White (Factory Applied),,,
868,,,Window Opening Control Device = No,,,
869,,,Security Sensor Type = None,,,
870,,,Insect Screen Type = Half Screen,,,
871,,,Insect Screen Material = TruScene,,,
872,,,Insect Screen Color = Sandtone,,,
873,,,Bay/Bow Option Type = Standard,,,
874,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
875,,,Head and Seat Board Species = Pine,,,
876,,,Head and Seat Board Finish Color = White - Painted,,,
877,,,"Overall Wall Depth = 6 9/16""",,,
878,,,Platform Boards = Top and Bottom Platforms,,,
879,,,Angle Bay/Bow Supports = w/Cable Support System,,,
880,,,Top Auxiliary Casing = Top Auxiliary,,,
881,,,Auxiliary Casing Colors = Dark Bronze,,,
882,,,Casing Application Location = Shipped Loose,,,
883,,,Trim Board = Fibrex Cellular Trim Board,,,
884,,,Installation Material Options = No,,,
885,,,Re-Order Item = No,,,
886,,,Room Location = None,,,
887,,,"Unit 1, 3: Unit U-Factor = ---",,,
888,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
889,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
890,17,300-13,400 Series Double-Hung Bay,1,$51.40,$51.40
891,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
892,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
893,,,Dimensional Entry Type = Standard Sizes (By Center,,,
894,,,Width),,,
895,,,Installation Zip Code = 55082,,,
896,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
897,,,Search by Unit Code = No,,,
898,,,"Unit 1, 3: Frame Width = 21 5/8",,,
899,,,"Unit 1, 3: Frame Height = 68 7/8",,,
900,,,Unit 2: Frame Width = 41 5/8,,,
901,,,Unit 2: Frame Height = 68 7/8,,,
902,,,Unit Code = TW45-3456-18,,,
903,,,Combination Operation / Venting = Active (All),,,
904,,,Venting / Handing = AA,,,
905,,,Exterior Color = Dark Bronze,,,
906,,,Exterior Sash/Panel Color = Dark Bronze,,,
907,,,Interior Species = Pine,,,
908,,,Interior Finish Color = White - Painted,,,
909,,,Jamb Liner Color = White,,,
910,,,Glass Construction Type = Dual Pane,,,
911,,,Glass Option = Low-E4,,,
912,,,High Altitude Breather Tubes = No,,,
913,,,Glass Strength = Tempered,,,
914,,,Specialty Glass = Reed Vertical,,,
915,,,Gas Fill = Argon,,,
916,,,None,,,
917,,,DP/PG Upgrade = No,,,
918,,,Sash Lift Type = Hand Lift,,,
919,,,Sash Lift Style = Traditional,,,
920,,,Sash Lift Color/Finish = Antique Brass,,,
921,,,Lock Hardware Style = Traditional,,,
922,,,Number of Sash Locks = 1,,,
923,,,Lock Hardware Color/Finish = White (Factory Applied),,,
924,,,Window Opening Control Device = No,,,
925,,,Security Sensor Type = None,,,
926,,,Insect Screen Type = Half Screen,,,
927,,,Insect Screen Material = TruScene,,,
928,,,Insect Screen Color = Sandtone,,,
929,,,Bay/Bow Option Type = Standard,,,
930,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
931,,,Head and Seat Board Species = Pine,,,
932,,,Head and Seat Board Finish Color = White - Painted,,,
933,,,"Overall Wall Depth = 6 9/16""",,,
934,,,Platform Boards = Top and Bottom Platforms,,,
935,,,Angle Bay/Bow Supports = w/Cable Support System,,,
936,,,Top Auxiliary Casing = Top Auxiliary,,,
937,,,Auxiliary Casing Colors = Dark Bronze,,,
938,,,Casing Application Location = Shipped Loose,,,
939,,,Trim Board = Fibrex Cellular Trim Board,,,
940,,,Installation Material Options = No,,,
941,,,Re-Order Item = No,,,
942,,,Room Location = None,,,
943,,,"Unit 1, 3: Unit U-Factor = ---",,,
944,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
945,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
946,32,300-14,400 Series Double-Hung Bay,1,$95.00,$95.00
947,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
948,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
949,,,Dimensional Entry Type = Standard Sizes (By Center,,,
950,,,Width),,,
951,,,Installation Zip Code = 55082,,,
952,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
953,,,Search by Unit Code = No,,,
954,,,"Unit 1, 3: Frame Width = 21 5/8",,,
955,,,"Unit 1, 3: Frame Height = 68 7/8",,,
956,,,Unit 2: Frame Width = 41 5/8,,,
957,,,Unit 2: Frame Height = 68 7/8,,,
958,,,Unit Code = TW45-3456-18,,,
959,,,Combination Operation / Venting = Active (All),,,
960,,,Venting / Handing = AA,,,
961,,,Exterior Color = Dark Bronze,,,
962,,,Exterior Sash/Panel Color = Dark Bronze,,,
963,,,Interior Species = Pine,,,
964,,,Interior Finish Color = White - Painted,,,
965,,,Jamb Liner Color = White,,,
966,,,Glass Construction Type = Dual Pane,,,
967,,,Glass Option = Low-E4,,,
968,,,High Altitude Breather Tubes = No,,,
969,,,Glass Strength = Tempered,,,
970,,,Specialty Glass = Reed Vertical,,,
971,,,Gas Fill = Argon,,,
972,,,None,,,
973,,,DP/PG Upgrade = No,,,
974,,,Sash Lift Type = Hand Lift,,,
975,,,Sash Lift Style = Traditional,,,
976,,,Sash Lift Color/Finish = Antique Brass,,,
977,,,Lock Hardware Style = Traditional,,,
978,,,Number of Sash Locks = 1,,,
979,,,Lock Hardware Color/Finish = White (Factory Applied),,,
980,,,Window Opening Control Device = No,,,
981,,,Security Sensor Type = None,,,
982,,,Insect Screen Type = Half Screen,,,
983,,,Insect Screen Material = TruScene,,,
984,,,Insect Screen Color = Sandtone,,,
985,,,Bay/Bow Option Type = Standard,,,
986,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
987,,,Head and Seat Board Species = Pine,,,
988,,,Head and Seat Board Finish Color = White - Painted,,,
989,,,"Overall Wall Depth = 6 9/16""",,,
990,,,Platform Boards = Top and Bottom Platforms,,,
991,,,Angle Bay/Bow Supports = w/Cable Support System,,,
992,,,Top Auxiliary Casing = Top Auxiliary,,,
993,,,Auxiliary Casing Colors = Dark Bronze,,,
994,,,Casing Application Location = Shipped Loose,,,
995,,,Trim Board = Fibrex Cellular Trim Board,,,
996,,,Installation Material Options = No,,,
997,,,Re-Order Item = No,,,
998,,,Room Location = None,,,
999,,,"Unit 1, 3: Unit U-Factor = ---",,,
1000,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
1001,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
1002,33,300-15,400 Series Double-Hung Bay,1,$135.80,$135.80
1003,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
1004,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
1005,,,Dimensional Entry Type = Standard Sizes (By Center,,,
1006,,,Width),,,
1007,,,Installation Zip Code = 55082,,,
1008,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
1009,,,Search by Unit Code = No,,,
1010,,,"Unit 1, 3: Frame Width = 21 5/8",,,
1011,,,"Unit 1, 3: Frame Height = 68 7/8",,,
1012,,,Unit 2: Frame Width = 41 5/8,,,
1013,,,Unit 2: Frame Height = 68 7/8,,,
1014,,,Unit Code = TW45-3456-18,,,
1015,,,Combination Operation / Venting = Active (All),,,
1016,,,Venting / Handing = AA,,,
1017,,,Exterior Color = Dark Bronze,,,
1018,,,Exterior Sash/Panel Color = Dark Bronze,,,
1019,,,Interior Species = Pine,,,
1020,,,Interior Finish Color = White - Painted,,,
1021,,,Jamb Liner Color = White,,,
1022,,,Glass Construction Type = Dual Pane,,,
1023,,,Glass Option = Low-E4,,,
1024,,,High Altitude Breather Tubes = No,,,
1025,,,Glass Strength = Tempered,,,
1026,,,Specialty Glass = Reed Vertical,,,
1027,,,Gas Fill = Argon,,,
1028,,,None,,,
1029,,,DP/PG Upgrade = No,,,
1030,,,Sash Lift Type = Hand Lift,,,
1031,,,Sash Lift Style = Traditional,,,
1032,,,Sash Lift Color/Finish = Antique Brass,,,
1033,,,Lock Hardware Style = Traditional,,,
1034,,,Number of Sash Locks = 1,,,
1035,,,Lock Hardware Color/Finish = White (Factory Applied),,,
1036,,,Window Opening Control Device = No,,,
1037,,,Security Sensor Type = None,,,
1038,,,Insect Screen Type = Half Screen,,,
1039,,,Insect Screen Material = TruScene,,,
1040,,,Insect Screen Color = Sandtone,,,
1041,,,Bay/Bow Option Type = Standard,,,
1042,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
1043,,,Head and Seat Board Species = Pine,,,
1044,,,Head and Seat Board Finish Color = White - Painted,,,
1045,,,"Overall Wall Depth = 6 9/16""",,,
1046,,,Platform Boards = Top and Bottom Platforms,,,
1047,,,Angle Bay/Bow Supports = w/Cable Support System,,,
1048,,,Top Auxiliary Casing = Top Auxiliary,,,
1049,,,Auxiliary Casing Colors = Dark Bronze,,,
1050,,,Casing Application Location = Shipped Loose,,,
1051,,,Trim Board = Fibrex Cellular Trim Board,,,
1052,,,Installation Material Options = No,,,
1053,,,Re-Order Item = No,,,
1054,,,Room Location = None,,,
1055,,,"Unit 1, 3: Unit U-Factor = ---",,,
1056,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
1057,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
1058,18,400-1,400 Series Casement Bow,1,"$6,801.00","$6,801.00"
1059,,,"Overall Joined Rough Opening = 120 3/8"" x 73 7/8""",,,
1060,,,"Overall Joined Unit = 120 3/4"" x 73 3/8""",,,
1061,,,"Dimensional Entry Type = Overall Width, Angle",,,
1062,,,Installation Zip Code = 55082,,,
1063,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
1064,,,Search by Unit Code = No,,,
1065,,,Frame Width = 24 1/8,,,
1066,,,Frame Height = 71 7/8,,,
1067,,,"Unit 1, 2, 4, 5: Unit Code = C56-BOW",,,
1068,,,"Unit 1, 2, 4, 5: Combination Operation / Venting =",,,
1069,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1070,,,"Unit 1, 2, 4, 5: Venting / Handing = Stationary",,,
1071,,,Unit 3: Unit Code = C56-BOW,,,
1072,,,Unit 3: Combination Operation / Venting =,,,
1073,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1074,,,Unit 3: Venting / Handing = Left,,,
1075,,,Unit 3: Hinge Style = Hinge with Wash Mode,,,
1076,,,Exterior Color = White,,,
1077,,,Exterior Sash/Panel Color = White,,,
1078,,,Interior Species = Pine,,,
1079,,,Interior Finish Color = White - Vinyl Wrapped,,,
1080,,,Glass Construction Type = Dual Pane,,,
1081,,,Glass Option = Low-E4 SmartSun,,,
1082,,,High Altitude Breather Tubes = No,,,
1083,,,Glass Strength = Tempered,,,
1084,,,Glass Tint = No Tint,,,
1085,,,Specialty Glass = Fern,,,
1086,,,Gas Fill = Argon,,,
1087,,,Art Glass Series = None,,,
1088,,,Removable Interior Grille,,,
1089,,,Colonial,,,
1090,,,Grille Pattern = Colonial,,,
1091,,,"Grille Bar Width = 7/8""",,,
1092,,,Exterior Grille Color = White,,,
1093,,,Interior Grille Species = Maple,,,
1094,,,Interior Grille Color = White,,,
1095,,,2W6H,,,
1096,,,Grille Alignment Type = Standard Grille Alignment,,,
1097,,,DP/PG Upgrade = No,,,
1098,,,Hardware Style = Contemporary Folding,,,
1099,,,Hardware Color/Finish = Bright Brass,,,
1100,,,Corrosion Resistant Hardware = None,,,
1101,,,Window Opening Control Device = No,,,
1102,,,Security Sensor Type = None,,,
1103,,,Insect Screen Type = Full Screen,,,
1104,,,Insect Screen Material = Aluminum,,,
1105,,,Insect Screen Color = White,,,
1106,,,Bay/Bow Option Type = Walkout,,,
1107,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
1108,,,Head and Seat Board Species = Pine,,,
1109,,,Head and Seat Board Finish Color = White - Painted,,,
1110,,,"Overall Wall Depth = 5 1/4""",,,
1111,,,Platform Boards = Top and Bottom Platforms,,,
1112,,,Angle Bay/Bow Supports = w/Cable Support System,,,
1113,,,"Top Auxiliary Casing = Top AuxiliaryAuxiliary Casing Colors = WhiteCasing Application Location = Shipped LooseTrim Board = NoneInstallation Material Options = NoRe-Order Item = NoRoom Location = NoneUnit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 3: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 3: U.S. ENERGY STAR Certified = NoUnit 3: Clear Opening Width = 14.423Unit 3: Clear Opening Height = 67.023Unit 3: Clear Opening Area = 6.713Unit 1, 2, 4, 5: Extension Jamb 1 Part Number =9042260Unit 1, 2, 4, 5: Head and Seat Board Part Number =9052743Unit 1, 2, 4, 5: Platform Boards Part Number = 1349314Unit 1, 2, 4, 5: Angle Bay/Bow Supports Part Number =1355020Unit 1, 2, 4, 5: Top Auxiliary Casing Part Number =1613508Unit 3: Hardware Part Number = 9016729Unit 3: Insect Screen 1 Part Number = 1345020Unit 3: Extension Jamb 1 Part Number = 9042260Unit 3: Head and Seat Board Part Number = 9052743Unit 3: Platform Boards Part Number = 1349314Unit 3: Angle Bay/Bow Supports Part Number =1355020Unit 3: Top Auxiliary Casing Part Number = 1613508VerticalFactory0"" thick, 71.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
1114,19,400-2,400 Series Casement Bow $75.60,1,$75.60,$75.60
1115,,,"Overall Joined Rough Opening = 120 3/8"" x 73 7/8""",,,
1116,,,"Overall Joined Unit = 120 3/4"" x 73 3/8""",,,
1117,,,"Dimensional Entry Type = Overall Width, Angle",,,
1118,,,Installation Zip Code = 55082,,,
1119,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
1120,,,Search by Unit Code = No,,,
1121,,,Frame Width = 24 1/8,,,
1122,,,Frame Height = 71 7/8,,,
1123,,,"Unit 1, 2, 4, 5: Unit Code = C56-BOW",,,
1124,,,"Unit 1, 2, 4, 5: Combination Operation / Venting =",,,
1125,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1126,,,"Unit 1, 2, 4, 5: Venting / Handing = Stationary",,,
1127,,,Unit 3: Unit Code = C56-BOW,,,
1128,,,Unit 3: Combination Operation / Venting =,,,
1129,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1130,,,Unit 3: Venting / Handing = Left,,,
1131,,,Unit 3: Hinge Style = Hinge with Wash Mode,,,
1132,,,Exterior Color = White,,,
1133,,,Exterior Sash/Panel Color = White,,,
1134,,,Interior Species = Pine,,,
1135,,,Interior Finish Color = White - Vinyl Wrapped,,,
1136,,,Glass Construction Type = Dual Pane,,,
1137,,,Glass Option = Low-E4 SmartSun,,,
1138,,,High Altitude Breather Tubes = No,,,
1139,,,Glass Strength = Tempered,,,
1140,,,Glass Tint = No Tint,,,
1141,,,Specialty Glass = Fern,,,
1142,,,Gas Fill = Argon,,,
1143,,,Art Glass Series = None,,,
1144,,,Removable Interior Grille,,,
1145,,,Colonial,,,
1146,,,Grille Pattern = Colonial,,,
1147,,,"Grille Bar Width = 7/8""",,,
1148,,,Exterior Grille Color = White,,,
1149,,,Interior Grille Species = Maple,,,
1150,,,Interior Grille Color = White,,,
1151,,,2W6H,,,
1152,,,Grille Alignment Type = Standard Grille Alignment,,,
1153,,,DP/PG Upgrade = No,,,
1154,,,Hardware Style = Contemporary Folding,,,
1155,,,Hardware Color/Finish = Bright Brass,,,
1156,,,Corrosion Resistant Hardware = None,,,
1157,,,Window Opening Control Device = No,,,
1158,,,Security Sensor Type = None,,,
1159,,,Insect Screen Type = Full Screen,,,
1160,,,Insect Screen Material = Aluminum,,,
1161,,,Insect Screen Color = White,,,
1162,,,Bay/Bow Option Type = Walkout,,,
1163,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
1164,,,Head and Seat Board Species = Pine,,,
1165,,,Head and Seat Board Finish Color = White - Painted,,,
1166,,,"Overall Wall Depth = 5 1/4""",,,
1167,,,Platform Boards = Top and Bottom Platforms,,,
1168,,,Angle Bay/Bow Supports = w/Cable Support System,,,
